food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,servings_unit,unit_serving_energy_kcal
OSR042,Cranberry cookies,open_source_recipes,1138.1776123046875,272.482421875,36.39063262939453,3.9216148853302,12.661157608032227,19.963930130004883,1.126891016960144,cookie,506.1361083984375
OSR043,Olive biscuit,open_source_recipes,1829.898193359375,438.2898864746094,55.007240295410156,3.2033824920654297,23.7471981048584,32.26765441894531,0.816913366317749,biscuit,207.31112670898438
OSR045,Tutti fruitti biscuit,open_source_recipes,1749.344970703125,420.78216552734375,53.122352600097656,5.2059245109558105,17.898103713989258,15.752897262573242,5.434406280517578,biscuit,457.39019775390625
OSR046,Peach blueberry preserves,open_source_recipes,754.7050170898438,177.3811492919922,45.763973236083984,0.5251616835594177,0.20122897624969482,45.330078125,1.14139723777771,half-pints,685.578125
OSR047,Pear preserves (Naashpati ka murabba),open_source_recipes,429.6300048828125,101.2390365600586,25.66578483581543,0.2510855495929718,0.1864270269870758,25.188047409057617,3.0575222969055176,half-pints,603.529296875
OSR048,Starfruit preserves ,open_source_recipes,549.1384887695312,128.9264678955078,33.62123107910156,0.24184615910053253,0.11723077297210693,33.46615219116211,0.7781538367271423,jar,209.5054931640625
OSR049,Gooseberry pickle (Amla ka achaar),open_source_recipes,1165.948486328125,278.5849609375,7.612276554107666,1.5463242530822754,27.60933494567871,0.35784897208213806,3.698528528213501,jar,64.86015319824219
OSR050,Lotus stem pickle (Kamal kakdi ka achar),open_source_recipes,429.0166320800781,102.69074249267578,20.070594787597656,1.442939281463623,1.5996668338775635,2.5317747592926025,8.581247329711914,jar,403.96484375
OSR051,Date pickle (Khajoor ka achaar),open_source_recipes,760.3075561523438,182.2870635986328,34.66094970703125,1.6772139072418213,4.205400466918945,30.473812103271484,5.2036542892456055,small bowl,251.89793395996094
OSR052,Garlic pickle (Lahasun ka achar),open_source_recipes,1705.3182373046875,413.6179504394531,9.753618240356445,3.722050189971924,39.88408279418945,2.323113203048706,5.1255292892456055,jar,211.44149780273438
OSR053,Fermented bamboo shoot pickle (Mesu pickle),open_source_recipes,250.40367126464844,59.83161544799805,1.7324771881103516,1.5793578624725342,5.591376304626465,0.2855045795440674,2.2384402751922607,jar,81.52057647705078
OSR054,Sweet peach pickle (Aadoo ka achaar),open_source_recipes,614.939453125,144.63511657714844,37.009674072265625,0.4617391526699066,0.20428571105003357,36.46366500854492,1.315481424331665,jar,349.2938232421875
OSR055,Pickled mustard greens ,open_source_recipes,54.90068054199219,13.12126350402832,1.0509024858474731,1.5091004371643066,0.22253121435642242,0.02102724276483059,1.695076584815979,jar,154.131103515625
OSR056,Small onion pickle ,open_source_recipes,72.36255645751953,16.864784240722656,2.763744354248047,1.6471024751663208,0.6393759250640869,2.988409996032715,1.0858840942382812,bowl,18.91666603088379
OSR057,Green tomato pickle (Haray tamatar ka achaar),open_source_recipes,796.26416015625,193.2611083984375,2.866100549697876,1.2349056005477905,19.672609329223633,0.7654402852058411,1.737044095993042,jar,122.9140625
